GHG emissions by building type (metric ton)
t_periods,emissions_comm,Sub,Archetype,NewOld,Emisions
2020,N2O,Residential,Single Detached,Old,34.00090946096908
2021,CH4,Commercial,"Arts, Entertainment and Recreation",Old,1.8698932348544048
2021,CH4,Commercial,Accommodation and Food Services,Old,2.174760006610365
2021,CH4,Commercial,Educational Services,Old,5.444413482294577
2021,CH4,Commercial,Health Care and Social Assistance,Old,3.4856697237642753
2021,CH4,Commercial,Information and Cultural Industries,Old,0.2799326647529327
2021,CH4,Commercial,Offices,Old,18.948838616315815
2021,CH4,Commercial,Other Services,Old,2.2826428317034195
2021,CH4,Commercial,Retail Trade,Old,6.921525633407346
2021,CH4,Commercial,Transportation and Warehousing,Old,1.237252396035474
2021,CH4,Commercial,Wholesale Trade,Old,4.3313552029719045
2021,CH4,Industry,,,16.408065942926896
2021,CH4,Public,Hospital,Old,1.763103009169386
2021,CH4,Public,Municipality,Old,1.6079686654280727
2021,CH4,Public,Post-Secondary Institution,Old,2.8079619854500817
2021,CH4,Public,School board,Old,3.0504054597977532
2021,CH4,Residential,Apartments,Old,569.0996500253807
2021,CH4,Residential,Single Attached,Old,188.0352055390814
2021,CH4,Residential,Single Detached,Old,371.1717346675316
2021,CO2,Commercial,"Arts, Entertainment and Recreation",Old,94539.63229464134
2021,CO2,Commercial,Accommodation and Food Services,Old,110097.28599552247
2021,CO2,Commercial,Educational Services,Old,280132.49819521926
2021,CO2,Commercial,Health Care and Social Assistance,Old,177758.14491549775
2021,CO2,Commercial,Information and Cultural Industries,Old,13671.949201430105
2021,CO2,Commercial,Offices,Old,986529.8764203569
2021,CO2,Commercial,Other Services,Old,115574.36556139261
2021,CO2,Commercial,Retail Trade,Old,355884.72603996354
2021,CO2,Commercial,Transportation and Warehousing,Old,62466.88566904549
2021,CO2,Commercial,Wholesale Trade,Old,220804.38999989678
2021,CO2,Industry,,,827135.552057752
2021,CO2,Public,Hospital,Old,96891.55725398105
2021,CO2,Public,Municipality,Old,78970.53522082935
2021,CO2,Public,Post-Secondary Institution,Old,143616.08029904784
2021,CO2,Public,School board,Old,149351.37878225502
2021,CO2,Residential,Apartments,Old,1490858.3167454358
2021,CO2,Residential,Single Attached,Old,733862.125739716
2021,CO2,Residential,Single Detached,Old,1650020.4474615378
2021,CO2e,Commercial,"Arts, Entertainment and Recreation",Old,95191.34166421952
2021,CO2e,Commercial,Accommodation and Food Services,Old,110862.25947640867
2021,CO2e,Commercial,Educational Services,Old,282061.58784112823
2021,CO2e,Commercial,Health Care and Social Assistance,Old,179014.6453311477
2021,CO2e,Commercial,Information and Cultural Industries,Old,13769.942538497759
2021,CO2e,Commercial,Offices,Old,994197.8668643914
2021,CO2e,Commercial,Other Services,Old,116352.91630705522
2021,CO2e,Commercial,Retail Trade,Old,358287.3596963797
2021,CO2e,Commercial,Transportation and Warehousing,Old,62912.25400666926
2021,CO2e,Commercial,Wholesale Trade,Old,222345.08252170015
2021,CO2e,Industry,,,832086.6124371213
2021,CO2e,Public,Hospital,Old,97438.979189326
2021,CO2e,Public,Municipality,Old,79457.62844345586
2021,CO2e,Public,Post-Secondary Institution,Old,144473.60056537855
2021,CO2e,Public,School board,Old,150275.38796260435
2021,CO2e,Residential,Apartments,Old,1512849.5097962255
2021,CO2e,Residential,Single Attached,Old,742413.9958744
2021,CO2e,Residential,Single Detached,Old,1667953.9601806737
2021,N2O,Commercial,"Arts, Entertainment and Recreation",Old,2.055173193443581
2021,N2O,Commercial,Accommodation and Food Services,Old,2.413770203850178
2021,N2O,Commercial,Educational Services,Old,6.089788465707551
2021,N2O,Commercial,Health Care and Social Assistance,Old,3.9708099041976164
2021,N2O,Commercial,Information and Cultural Industries,Old,0.30910990304645597
2021,N2O,Commercial,Offices,Old,24.39619071507298
2021,N2O,Commercial,Other Services,Old,2.451729014083338
2021,N2O,Commercial,Retail Trade,Old,7.574770530585851
2021,N2O,Commercial,Transportation and Warehousing,Old,1.4073356956611607
2021,N2O,Commercial,Wholesale Trade,Old,4.864879404499426
